"Key","Title","Description","Status"
"1950JJ00","1950",,"Definitief"
"1951JJ00","1951",,"Definitief"
"1952JJ00","1952",,"Definitief"
"1953JJ00","1953",,"Definitief"
"1954JJ00","1954",,"Definitief"
"1955JJ00","1955",,"Definitief"
"1956JJ00","1956",,"Definitief"
"1957JJ00","1957",,"Definitief"
"1958JJ00","1958",,"Definitief"
"1959JJ00","1959",,"Definitief"
"1960JJ00","1960",,"Definitief"
"1961JJ00","1961",,"Definitief"
"1962JJ00","1962",,"Definitief"
"1963JJ00","1963",,"Definitief"
"1964JJ00","1964",,"Definitief"
"1965JJ00","1965",,"Definitief"
"1966JJ00","1966",,"Definitief"
"1967JJ00","1967",,"Definitief"
"1968JJ00","1968",,"Definitief"
"1969JJ00","1969",,"Definitief"
"1970JJ00","1970",,"Definitief"
"1971JJ00","1971",,"Definitief"
"1972JJ00","1972",,"Definitief"
"1973JJ00","1973",,"Definitief"
"1974JJ00","1974",,"Definitief"
"1975JJ00","1975",,"Definitief"
"1976JJ00","1976",,"Definitief"
"1977JJ00","1977",,"Definitief"
"1978JJ00","1978",,"Definitief"
"1979JJ00","1979",,"Definitief"
"1980JJ00","1980",,"Definitief"
"1981JJ00","1981",,"Definitief"
"1982JJ00","1982",,"Definitief"
"1983JJ00","1983",,"Definitief"
"1984JJ00","1984",,"Definitief"
"1985JJ00","1985",,"Definitief"
"1986JJ00","1986",,"Definitief"
"1987JJ00","1987",,"Definitief"
"1988JJ00","1988",,"Definitief"
"1989JJ00","1989",,"Definitief"
"1990JJ00","1990",,"Definitief"
"1991JJ00","1991",,"Definitief"
"1992JJ00","1992",,"Definitief"
"1993JJ00","1993",,"Definitief"
"1994JJ00","1994",,"Definitief"
"1995JJ00","1995",,"Definitief"
"1996JJ00","1996",,"Definitief"
"1997JJ00","1997",,"Definitief"
"1998JJ00","1998",,"Definitief"
"1999JJ00","1999",,"Definitief"
"2000JJ00","2000",,"Definitief"
"2001JJ00","2001",,"Definitief"
"2002JJ00","2002",,"Definitief"
"2003JJ00","2003",,"Definitief"
"2004JJ00","2004",,"Definitief"
"2005JJ00","2005",,"Definitief"
"2006JJ00","2006",,"Definitief"
"2007JJ00","2007",,"Definitief"
"2008JJ00","2008",,"Definitief"
"2009JJ00","2009",,"Definitief"
"2010JJ00","2010",,"Definitief"
"2011JJ00","2011",,"Definitief"
"2012JJ00","2012",,"Definitief"
"2013JJ00","2013",,"Definitief"
"2014JJ00","2014",,"Definitief"
"2015JJ00","2015",,"Definitief"
"2016JJ00","2016",,"Definitief"
